Zip_Code,County,City,Place,Type,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev
96009,Modoc County,Bieber,Adin,CDP,530,8901691,15858,41.199312,-120.956779,54602,300000,32641
95514,Humboldt County,Blocksburg,Alderpoint,CDP,707,6288255,0,40.161347,-123.615729,24830,300000,14770
91901,San Diego County,Alpine,Alpine,CDP,619,69370314,1475,32.842286,-116.756044,91662,79440,65636
95076,Santa Cruz County,Watsonville,Amesti,CDP,831,7747643,166234,36.959483,-121.781739,63761,48440,55214
95003,Santa Cruz County,Aptos,Aptos,CDP,831,16657985,0,36.991147,-121.892758,96841,82737,67911
93420,San Luis Obispo County,Arroyo Grande,Arroyo Grande city,City,805,15106782,0,35.124305,-120.584854,81093,63124,62913
95603,Placer County,Auburn,Auburn city,City,530,18529464,71271,38.895075,-121.076739,71164,52951,60295
93304,Kern County,Bakersfield,Bakersfield city,City,661,385366784,3809676,35.321213,-119.018291,71025,56986,57439
95503,Humboldt County,Eureka,Bayview,CDP,707,1895432,0,40.765335,-124.178605,41404,31689,37090
96008,Shasta County,Bella Vista,Bella Vista,CDP,530,57495927,367924,40.651672,-122.256513,60891,54896,39884
93512,Mono County,Benton,Benton,CDP,760,73770754,52423,37.843606,-118.4899,33158,31129,17722
96011,Shasta County,Big Bend,Big Bend,CDP,530,14852516,230960,41.011615,-121.930444,29530,19739,22104
94945,Marin County,Novato,Black Point-Green Point,CDP,415,7322433,181453,38.109893,-122.518376,132698,127534,71468
94924,Marin County,Bolinas,Bolinas,CDP,415,15090533,0,37.917725,-122.709502,100173,76150,73456
92004,San Diego County,Borrego Springs,Borrego Springs,CDP,760,111554058,874219,33.245398,-116.357035,41547,31028,31083
94513,Contra Costa County,Brentwood,Brentwood city,City,925,38463708,21105,37.935905,-121.718547,100640,92772,64768
93427,Santa Barbara County,Buellton,Buellton city,City,805,4097749,1684,34.615497,-120.194237,80327,71623,55978
95965,Butte County,Oroville,Butte Valley,CDP,530,47370530,29332,39.668804,-121.645889,78774,55666,52503
92399,Riverside County,Calimesa,Calimesa city,City,909,38481117,0,33.987344,-117.054211,61578,45346,50889
93428,San Luis Obispo County,Cambria,Cambria,CDP,805,22036535,0,35.552479,-121.084527,78162,60687,56027
95922,Yuba County,Camptonville,Camptonville,CDP,530,2211388,0,39.452065,-121.048719,45763,32833,48119
94923,Sonoma County,Bodega Bay,Carmet,CDP,707,742472,0,38.374452,-123.071859,32499,300000,1826
93455,Santa Barbara County,Santa Maria,Casmalia,CDP,805,488123,0,34.837589,-120.531071,72668,300000,26981
95421,Sonoma County,Cazadero,Cazadero,CDP,707,18431244,3546,38.527831,-123.109799,57388,41500,50971
91724,Los Angeles County,Covina,Charter Oak,CDP,626,2403064,0,34.102483,-117.856315,74506,62609,49426
91710,San Bernardino County,Chino,Chino city,City,909,76829663,33348,33.978037,-117.657719,82439,72505,56415
94517,Contra Costa County,Clayton,Clayton city,City,925,9946656,0,37.94032,-121.930076,135724,130312,75495
94520,Contra Costa County,Concord,Clyde,CDP,925,371137,0,38.0254,-122.02806,67508,39905,59076
95713,Placer County,Colfax,Colfax city,City,530,3641506,0,39.093799,-120.953222,62241,48972,48721
90220,Los Angeles County,Compton,Compton city,City,310,25973637,227893,33.894047,-118.227469,52186,43250,40688
91723,Los Angeles County,West Covina,Covina city,City,626,18203062,32773,34.090475,-117.882143,77334,64833,55152
95971,Plumas County,Quincy,Cromberg,CDP,530,23385107,0,39.868383,-120.690446,36865,26537,29934
94014,San Mateo County,Daly City,Daly City city,City,650,19788422,0,37.700941,-122.464979,88415,74953,62070
93215,Kern County,Delano,Delano city,City,661,37044413,135325,35.763183,-119.26356,46670,35348,36810
93251,Kern County,Mckittrick,Derby Acres,CDP,661,9274815,0,35.244025,-119.603833,64762,38492,59874
91765,Los Angeles County,Diamond Bar,Diamond Bar city,City,909,38539601,13084,34.001573,-117.817601,101668,89518,68452
95224,Calaveras County,Avery,Dorrington,CDP,209,9398404,12551,38.294369,-120.270062,94240,36578,87348
94568,Alameda County,Dublin,Dublin city,City,925,39453265,0,37.716154,-121.896234,126995,119417,72770
92544,Riverside County,Hemet,East Hemet,CDP,951,13467988,0,33.730139,-116.940992,59514,47505,48363
90221,Los Angeles County,Compton,East Rancho Dominguez,CDP,310,2129017,0,33.894834,-118.195587,55412,43934,43685
93401,San Luis Obispo County,San Luis Obispo,Edna,CDP,805,3158263,0,35.210785,-120.605967,70959,300000,30348
95939,Glenn County,Elk Creek,Elk Creek,CDP,530,3753632,81504,39.598678,-122.53232,43059,36830,25925
90245,Los Angeles County,El Segundo,El Segundo city,City,310,14149156,4084,33.917145,-118.401554,104661,86968,70772
92026,San Diego County,Escondido,Escondido city,City,760,96015101,455887,33.133053,-117.074043,67119,51007,55767
93610,Madera County,Chowchilla,Fairmead,CDP,559,20035532,0,37.077473,-120.193661,46256,31719,41939
95476,Sonoma County,Sonoma,Fetters Hot Springs-Agua Caliente,CDP,707,3783771,0,38.327504,-122.487137,67684,53517,59891
96029,Tehama County,Flournoy,Flournoy,CDP,530,15012811,0,39.928357,-122.446164,55519,52439,37852
97635,Modoc County,New Pine Creek,Fort Bidwell,CDP,530,8288093,43567,41.863301,-120.159395,39439,25955,35242
95348,Merced County,Merced,Franklin,CDP,209,5226600,0,37.327717,-120.532114,49495,36846,45243
93730,Fresno County,Fresno,Friant,CDP,559,3239536,130737,36.984012,-119.70806,33535,18417,34551
95215,San Joaquin County,Stockton,Garden Acres,CDP,209,6693771,0,37.963697,-121.22961,45384,38763,31249
95020,Santa Clara County,Gilroy,Gilroy city,City,408,41808104,26658,37.006407,-121.585321,94368,81326,67204
95936,Sierra County,Downieville,Goodyears Bar,CDP,530,5309072,43381,39.552354,-120.893102,21163,30485,13700
95387,Stanislaus County,Westley,Grayson,CDP,209,577471,0,37.564951,-121.179463,46187,27144,47208
95947,Plumas County,Greenville,Greenville,CDP,530,20701558,0,40.133603,-120.945333,40839,27678,41290
95322,Merced County,Gustine,Gustine city,City,209,4017002,0,37.254514,-120.99487,55566,38476,48129
95688,Solano County,Vacaville,Hartley,CDP,707,16772049,72212,38.420393,-121.950842,107548,88891,67964
95638,Sacramento County,Herald,Herald,CDP,209,20406214,57778,38.288434,-121.231034,105322,116734,59006
