County,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,"Total lawenforcementemployees",Crimesperofficer
Alameda,510,6,13,177,314,2077,463,985,629,11,1560,4
Butte,155,4,20,14,117,1422,708,693,21,0,288,11
Contra Costa,426,14,24,153,235,2013,660,1332,21,18,936,6
El Dorado,252,9,46,32,165,2031,577,1412,42,4,349,13
Fresno,962,8,32,112,810,3810,1398,1838,574,145,1043,10
Imperial,219,0,6,7,206,625,202,395,28,21,283,7
Kern,2235,31,157,360,1687,9903,3243,4777,1883,300,1181,21
Kings,122,2,16,9,95,470,193,265,12,5,258,5
Los Angeles,5173,98,304,1212,3559,16301,3739,8359,4203,215,16582,3
Madera,334,1,18,26,289,1252,556,686,10,4,104,31
Marin,95,3,5,20,67,746,189,554,3,4,293,6
Merced,432,10,20,30,372,1605,596,955,54,10,210,20
Monterey,244,5,31,48,160,1246,347,872,27,12,403,8
Napa,79,1,13,3,62,278,107,170,1,0,132,6
Orange,213,2,12,28,171,1265,244,879,142,11,3602,1
Placer,299,4,20,36,239,1659,454,1163,42,4,471,9
Riverside,885,12,38,172,663,7680,1880,4321,1479,18,4088,5
Sacramento,3117,37,155,1026,1899,11164,3690,7348,126,31,1906,15
San Benito,41,1,4,4,32,173,57,106,10,0,53,9
San Bernardino,920,18,91,141,670,5527,1719,2583,1225,62,3247,4
San Diego,1161,10,110,161,880,4784,1153,2843,788,41,4127,3
San Joaquin,845,5,18,161,661,3564,1039,2381,144,30,960,10
San Luis Obispo,324,3,17,15,289,1347,461,873,13,3,702,5
San Mateo,330,3,53,90,184,2796,467,1953,376,15,385,17
Santa Barbara,266,2,29,32,203,1676,511,1152,13,12,662,6
Santa Clara,232,4,36,24,168,1358,261,899,198,3,610,6
Santa Cruz,295,0,25,40,230,1935,604,1323,8,15,1613,3
Shasta,697,3,69,26,599,958,423,489,46,23,299,12
Solano,101,3,7,14,77,404,186,176,42,9,210,5
Sonoma,638,5,73,58,502,1468,517,937,14,19,481,9
Stanislaus,394,11,35,122,226,2123,884,1188,51,14,593,9
Sutter,104,1,9,10,84,562,185,332,45,4,582,3
Tulare,383,23,29,64,267,2075,750,1325,0,0,130,38
Ventura,169,3,32,16,118,849,236,530,83,15,779,3
Yolo,87,1,13,5,68,309,109,185,15,6,1242,1
Yuba,227,3,19,40,165,1223,417,799,7,11,262,12
Alpine,9,0,0,0,9,35,15,19,1,0,168,1
Amador,50,1,2,5,42,340,130,205,5,1,16,49
Calaveras,111,6,24,8,73,656,251,386,19,0,100,16
Colusa,33,0,2,0,31,166,49,116,1,0,92,5
Del Norte,101,1,21,13,66,380,194,182,4,13,59,17
Glenn,44,1,2,3,38,165,74,89,2,2,53,8
Humboldt,265,7,18,45,195,760,371,358,31,12,56,37
Inyo,58,0,7,7,44,107,41,65,1,0,224,2
Lake,200,3,16,17,164,837,380,452,5,13,71,30
Lassen,47,0,3,3,41,200,78,122,0,3,135,4
Mariposa,89,0,8,1,80,268,77,189,2,0,82,9
Mendocino,324,5,56,20,243,451,215,230,6,10,72,22
Modoc,34,0,1,0,33,54,18,36,0,0,162,2
Mono,14,0,1,2,11,42,16,25,1,0,23,5
Nevada,139,0,10,8,121,716,380,321,15,5,40,43
Plumas,82,1,12,4,65,271,111,156,4,0,155,5
Sierra,3,0,0,0,3,31,5,23,3,0,60,2
Siskiyou,39,2,4,6,27,158,70,79,9,0,14,29
Tehama,167,3,5,1,158,249,173,75,1,14,99,9
Trinity,34,1,6,5,22,187,94,90,3,0,115,4
Tuolumne,185,0,49,22,114,749,413,330,6,2,42,45
