parcelid,bathroomcnt,bedroomcnt,sqft,garagecarcnt,latitude,longitude,lotsizesqft,regionidzip,numstories,yearbuilt,price
17284931,8.5,4,12451,25,34176773,-118805237,301435,96385,1,1996,5334922
14325595,10.5,6,9961,24,33579824,-117831309,24291,96975,1,2011,9420836
14328649,8.5,6,16350,21,33635807,-117780058,47226,96940,1,2010,8538247
14324358,14.5,9,27100,20,33587266,-117837886,31781,96975,1,2009,1.65E+07
14206445,4,5,6702,19,33852067,-117771299,43560,97026,1,2008,1615253
14121980,6,4,6892,18,33836661,-118057609,30030,96185,1,2008,1890611
14325027,7.5,6,18151,17,33578108,-117831960,40029,96975,1,2008,1.80E+07
14293693,2.5,2,3143,16,33656500,-117875021,19800,96978,1,2003,1601578
14321879,8,7,10686,15,33618320,-117790771,39509,96940,1,2008,7907688
14324031,7.5,5,12549,15,33597113,-117851645,16000,96975,1,1999,7279653
14421342,6.5,4,11932,15,33506473,-117727004,300564,96987,1,2007,1.01E+07
14433603,7,3,12072,15,33497487,-117689164,24219,96987,1,2004,5461749
13982871,4.5,4,7435,14,33458576,-117670133,34300,96956,1,1990,2193816
14325608,9.5,7,17100,14,33580776,-117830178,33569,96975,1,2008,8698177
14323958,7,6,7567,14,33598713,-117852949,18000,96975,1,1995,2755223
14324096,7.5,5,8188,14,33596266,-117843072,21623,96975,1,1998,9112205
14323977,9,5,16884,14,33598375,-117849637,22050,96975,1,2005,8904131
14405807,3,4,4623,14,33504821,-117674824,69696,96985,1,1988,1697500
14206299,4,4,4346,14,33860033,-117761123,40786,97027,1,1985,793277
14324125,9.5,6,13837,13,33595159,-117841435,31587,96975,1,2005,1.07E+07
14324347,8,5,12979,13,33588149,-117835865,29137,96975,1,2004,1.64E+07
14323962,6.5,4,8904,13,33598665,-117851565,22000,96975,1,1997,2579771
14701130,2,2,1026,13,33814700,-118011000,0,97023,1,1985,320000
14325599,7.5,6,10436,12,33580997,-117831302,19051,96975,1,2007,8724778
14325602,9,6,11888,12,33581925,-117830894,21607,96975,1,2008,1.25E+07
14329461,8.5,6,10965,12,33582512,-117825258,18795,96975,1,2012,1.25E+07
14324321,7,6,9187,12,33590438,-117838059,17684,96975,1,2001,1.17E+07
14324110,5.5,5,8277,12,33596968,-117843223,21320,96975,1,2001,6003620
14324130,6.5,4,12862,12,33596142,-117840646,21484,96975,1,2002,6640302
14219422,10,6,15031,12,33828194,-117750074,191098,96978,1,2006,3352431
13892832,9,6,13659,12,33610969,-117903047,14438,96978,1,2003,1.15E+07
14433583,5,2,8671,12,33499708,-117687945,43560,96987,1,2006,8408541
14205969,3,4,6026,12,33855537,-117762148,32500,97027,1,1989,2180000
14174738,2,2,2073,12,33892182,-117888705,35600,97039,1,1938,1150000
14187338,5,5,6460,12,33882282,-117811130,43560,97078,1,1997,1617529
14165297,2,3,2745,12,33894665,-117797111,52272,97078,1,1950,1134897
17284882,6,5,6808,11,34181486,-118809475,219542,96385,1,2002,2062575
